year	a_part	score
2009	winter_resistance	6.333333333
2010	winter_resistance	6.333333333
2011	winter_resistance	9
2012	winter_resistance	8.666666667
2013	winter_resistance	4
2014	winter_resistance	2.333333333
2016	winter_resistance	8.2
2017	winter_resistance	8
2018	winter_resistance	7.5
2019	winter_resistance	8.8
2020	winter_resistance	9
2021	winter_resistance	8.9
2022	winter_resistance	9
2009	spring_growth	8.333333333
2010	spring_growth	8.333333333
2011	spring_growth	9
2012	spring_growth	9
2013	spring_growth	8
2014	spring_growth	4.333333333
2016	spring_growth	8.833333333
2017	spring_growth	9
2018	spring_growth	9
2019	spring_growth	9
2020	spring_growth	8.25
2021	spring_growth	9
2022	spring_growth	9
2009	re_growth	7.333333333
2010	re_growth	5
2011	re_growth	9
2012	re_growth	9
2013	re_growth	8.333333333
2014	re_growth	9
2016	re_growth	9
2017	re_growth	9
2018	re_growth	7.666666667
2019	re_growth	7.166666667
2020	re_growth	7.425
2021	re_growth	8.5
2022	re_growth	6.933333333